Response Option Number,Response Option Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Hassaniyya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Hausa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Hawai'i Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Hawaiian, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Hebrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Hiligaynon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Hindi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Hindko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Hmong , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Hokkien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Holikachuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Hopi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Huanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Hungarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Ibanag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Icelandic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Igbo, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Ilocano, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Inuktitut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Inupiatun / Inupiaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Italian ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Jakartanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Jamaican Patois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Japanese , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Jarai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Javanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Jingpho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Jinyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Juba Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Jula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Kaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Kamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Kam Muang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Kanjobal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Kannada, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Karen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Kashmiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Kayah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Kazakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Keresan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Keresan Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Kham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Khana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Khmer , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,K'iche',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Kikuyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Kimiiru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Kinyarwand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Kiowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Koho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Korean ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Koyukon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Krahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Krio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Kunama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Kurmanji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Kyrgyz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Lakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Laotian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Latvian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Liberian Pidgin English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Lingala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Lingít / Tlingit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Lithuanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Lombard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Luba-Kasai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Luganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Maay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Macedonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Malayalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Maltese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Mam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Mandarin, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
284,Mandinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Maninka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Manobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Marathi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
288,Marka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Marshallese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Masalit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Mbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Mien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Mirpuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Mixteco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Mizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Mnong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Mongolian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Montenegrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Moroccan Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Mortlockese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Muscogee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Napoletano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Navajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Navajo Family Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Ndebele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Neapolitan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Nee’aandeg’ / Tanacross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Nepali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Ngambay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Nigerian Pidgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Northern Sotho, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
312,Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Nuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Nupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Nyanja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Nyoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,O'odham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Ojibwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Pampangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Papiamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Pashto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Pennsylvania Dutch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
324,Persian , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
325,Plains Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Plateau Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Plautdietsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pohnpeian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Polish , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
330,Portuguese , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Portugese Brazilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Portugese Cape Verdean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Portuguese Creole , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
334,Puerto Rican Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Pugliese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Pulaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Punjabi , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Putian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Quechua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Quichua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Rade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Rakhine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Rohingya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Romanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Rundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Russian , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
347,Samoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Samoan Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Sango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Seraiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Serbian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Shanghainese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Shona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Sichuan Yi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Sicilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Sindhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Sinhalese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Sioux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Slovak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Slovenian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Sm’algyax / (Coast) Tsimshian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Soga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Somali, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
364,Soninke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Sorani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Sothern Sotho, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
367,Spanish, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
368,Spanish Creole , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
369,Sudanese Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Sugpiaq / Alutiiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Sunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Susu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Swahili, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Swati, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
375,Swedish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Sylhetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Tagalog ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Taiwanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Tajik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Tamil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Tanacross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Tanana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Telugu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
